NOMBRE ASEGURADORA S.A DE C.V.,,,,,,,,,,,
Balance General,,,,,,,,,,,
Activo,,,,,,Pasivo,,,,,
,Inversiones,,,,"7,947,831,726.56",,Reservas Técnicas,,,,"23,430,131,469.14"
,,,,,,,,De Riesgos en Curso,,"14,191,242,017.45",
,,Valores y Operaciones con Productos Derivados,,"7,488,580,135.83",,,,,Seguros de Vida,"333,058,132.67",
,,,,,,,,,Seguros de Accidentes y Enfermedades,"229,078,399.28",
,,Valores,,"7,488,580,135.83",,,,,Seguros de Daños,"13,629,105,485.50",
,,,Gubernamentales,"6,656,515,334.07",,,,,Reafianzamiento Tomado,0,
,,,Empresas Privadas. Tasa Conocida,"831,292,014.16",,,,,De Fianzas en Vigor,0,
,,,Empresas Privadas. Renta Variable,"772,787.60",,,,,,,
,,,Extranjeros,0,,,,Reserva para Obligaciones Pendientes de Cumplir,,"7,104,551,195.64",
,,,Dividendos por Cobrar sobre Títulos de Capital,0,,,,,Por Pólizas Vencidas y Siniestros Ocurridos pendientes de Pago,"5,258,840,627.00",
,,,(-)Deterioro de Valores,0,,,,,Por Siniestros Ocurridos y No Reportados y Gastos de Ajuste Asignados a los Siniestros,"1,404,909,548.05",
,,,Inversiones en Valores dados en Préstamo,0,,,,,Por Fondos en Administración,"2,855,016.40",
,,,Valores Restringidos,0,,,,,Por Primas en Depósito,"437,946,004.19",
,,,,,,,,,,,
,,,,,,,,Reserva de Contingencia,,0,
,,,,,,,,,,,
,,Operaciones con Productos Derivados,,0,,,,Reserva para Seguros Especializados,,"586,847.44",
,,,,,,,,,,,
,,,,,,,,Reserva de Riesgos Catastróficos,,"2,133,751,408.61",
,,Deudor por Reporto,,"272,597,861.92",,,,,,,
,,,,,,,Reserva para Obligaciones Laborales,,,,"78,619,313.55"
,,,,,,,,,,,
,,Cartera de Crédito (Neto),,"23,613,155.93",,,Acreedores,,,,"5,632,799,504.95"
,,,Cartera de Crédito Vigente,"36,257,789.77",,,,Agentes y Ajustadores,,"1,149,492,320.02",
,,,Cartera de Crédito Vencida,"121,922.84",,,,Fondos en Administración de Pérdidas,,0,
,,,(-) Estimaciones Preventivas por Riesgo Crediticio,"12,766,556.68",,,,Acreedores por Responsabilidades de Fianzas por Pasivos Constituidos,,0,
,,,,,,,,Diversos,,"4,483,307,184.93",
,,,,,,,,,,,
,,Inmuebles (Neto),,"163,040,572.88",,,Reaseguradores y Reafianzadores,,,,"1,113,335,488.26"
,,,,,,,,Instituciones de Seguros y Fianzas,,"1,086,843,337.73",
,,,,,,,,Depósitos Retenidos,,0,
,Inversiones para Obligaciones Laborales,,,,"61,429,931.67",,,Otras Participaciones,,"26,492,150.53",
,,,,,,,,Intermediarios de Reaseguro y Reafianzamiento,,0,
,,,,,,,,,,,
,Disponibilidad,,,,"409,092,217.22",,Operaciones con Productos Derivados. Valor Razonable (parte pasiva) al momento de la adquisición,,,,0
,,Caja y Bancos,,"409,092,217.22",,,,,,,
,,,,,,,,,,,
,,,,,,,Financiamientos Obtenidos,,,,0
,Deudores,,,,"14,481,629,029.45",,,Emisión de Deuda,,0,
,,Por Primas,,"13,943,080,387.51",,,,Por Obligaciones Subordinadas No Susceptibles de Convertirse en Acciones,,0,
,,Deudor por Prima por Subsidio Daños,,0,,,,Otros Títulos de Crédito,,0,
,,Adeudos a cargo de Dependencias y Entidades de la Administración Pública Federal,,"9,754,247.14",,,,Contratos de Reaseguro Financiero,,0,
,,Primas por Cobrar de Fianzas Expedidas,,0,,,,,,,
,,Agentes y Ajustadores,,"13,762,914.20",,,Otros Pasivos,,,,"3,685,919,447.10"
,,Documentos por Cobrar,,0,,,,Provisión para la Participación de los Trabajadores en la Utilidad,,0,
,,Deudores por Responsabilidades,,0,,,,Provisión para el Pago de Impuestos,,"618,465,815.27",
,,Otros,,"875,778,495.93",,,,Otras Obligaciones,,"2,137,499,097.59",
,,(-)Estimación para Castigos,,"360,747,015.33",,,,Créditos Diferidos,,"929,954,534.24",
,,,,,,,,,,,
,,,,,,Suma del Pasivo,,,,,"33,940,805,223.00"
,Reaseguradores y Reafianzadores (Neto),,,,"12,059,613,093.31",,,,,,
,,Instituciones de Seguros y Fianzas,,"996,220,794.38",,Capital Contable,,,,,
,,Depósitos Retenidos,,0,,,Capital Contribuido,,,,"1,350,626,238.13"
,,Importes Recuperables de Reaseguro,,"11,095,600,083.92",,,,Capital o Fondo Social Pagado,,"1,350,626,238.13",
,,(-) Estimación preventiva de riesgos crediticios  de Reaseguradores Extranjeros,,"6,511,881.94",,,,,Capital o Fondo Social,"1,560,476,614.88",
,,Intermediarios de Reaseguro y Reafianzamiento,,0,,,,,(-) Capital o Fondo Social No Suscrito,"209,850,376.75",
,,(-) Estimación para Castigos,,"25,695,903.05",,,,,(-) Capital o Fondo Social No Exhibido,0,
,,,,,,,,,(-) Acciones Propias Recompradas,0,
,,,,,,,,,,,
,Inversiones Permanentes,,,,"2,930,204.52",,,,Obligaciones Subordinadas de Conversión Obligatoria a Capital,0,
,,Subsidiarias,,0,,,,,,,
,,Asociadas,,0,,,Capital Ganado,,,,"4,054,554,559.70"
,,Otras Inversiones Permanentes,,"2,930,204.52",,,,Reservas,,"710,297,278.37",
,,,,,,,,,Legal,"710,297,278.37",
,,,,,,,,,Para Adquisición de Acciones Propias,0,
,Otros Activos,,,,"4,383,459,818.10",,,,Otras,0,
,,Mobiliario y Equipo (Neto),,"54,490,743.37",,,,Superávit por Valuación,,"82,042,784.94",
,,Activos Adjudicados (Neto),,0,,,,Inversiones Permanentes,,0,
,,Diversos,,"4,153,987,674.75",,,,Resultados o Remanentes de Ejercicios Anteriores,,"2,351,069,745.06",
,,Activos Intangibles Amortizables (Netos),,"174,981,399.98",,,,Resultado o Remanente del Ejercicio,,"922,213,500.06",
,,Activos Intangibles de larga duración (Netos),,0,,,,Resultado por Tenencia de Activos No Monetarios,,0,
,,,,,,,,Remediciones por Beneficios Definidos a los Empleados,,"-11,068,748.73",
,,,,,,,,,,,
,,,,,,,,Participación Controladora,,0,
,,,,,,,,Participación No Controladora,,0,
,,,,,,,,,,,
,,,,,,Suma del Capital,,,,,"5,405,180,797.83"
Suma del Activo,,,,,"$39,345,986,020.83 ",Suma del Pasivo y Capital,,,,,"39,345,986,020.83"
